;;;COD. ARTIC.;NOMBRE;;STOCK;;;;LISTA 1;;LISTA 2;;LISTA 3;;LISTA 4;CATEGORIA;;;;;;;;;;;;;
1;;1;101;SMARTWATCH HAXLY QUID 2.0 BLACK/RED;;30,000;10,5;3596,00;50,00;5960,37;40,00;5563,01;30,00;5165,65;20,00;4768,30;RELOJ SMARTWATCH;;;;1;31,00;0,00;3973,58;0,00;3973,58;1;0;1;0
2;;2;102;FUENTE TT TR2 600W;;20,000;21;5800,00;50,00;10527,00;40,00;9825,20;30,00;9123,40;20,00;8421,60;FUENTE;;;;1;50,00;0,00;7018,00;0,00;7018,00;1;0;1;0
1;;1;103;SERVICIO DE HARDWARE;;390,000;21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;SERVICIO TECNICO;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
2;;2;104;SERVICIO DE SOFTWARE;;2,480,000;21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;SERVICIO TECNICO;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
3;;3;105;PLOTTER EPSON T3170 61CM;;0,0000;10,5;95120,00;50,00;157661,40;40,00;147150,64;30,00;136639,88;20,00;126129,12;IMPRESORA LASER;;;;1;820,00;0,00;105107,60;0,00;105107,60;1;0;1;1
4;;4;106;MF EPSON MULTIFUNCION MONOC M2120 SIST CONT WIFI;;0,0000;21;35960,00;50,00;65267,40;40,00;60916,24;30,00;56565,08;20,00;52213,92;IMPRESORA TINTA;;;;1;310,00;0,00;43511,60;0,00;43511,60;1;0;1;1
5;;5;107;HP LASERJET M107W LJ 21PPM WIFI 4ZB78A;;-20,000;10,5;16240,00;50,00;26917,80;50,00;26917,80;50,00;26917,80;50,00;26917,80;IMPRESORA LASER;;;;1;140,00;0,00;17945,20;0,00;17945,20;1;0;1;1
6;;6;108;IMPRESORA TERM. HONEYWELL PC42T PLUS USB BUJE 1/2;;0,0000;10,5;19720,00;50,00;32685,90;40,00;30506,84;30,00;28327,78;20,00;26148,72;IMPRESORA DE COMANDAS;;;;1;170,00;0,00;21790,60;0,00;21790,60;1;0;1;1
7;;7;109;BROTHER LASER HL 1212W;;0,0000;10,5;18212,00;50,00;30186,39;40,00;28173,96;30,00;26161,54;20,00;24149,11;IMPRESORA LASER;;;;1;157,00;0,00;20124,26;0,00;20124,26;1;0;1;1
8;;8;110;MF HP SMART TANK 615 WIRELESS C/ SISTEMA CONTINUO;;0,0000;21;20880,00;50,00;37897,20;40,00;35370,72;30,00;32844,24;20,00;30317,76;IMPRESORA TINTA;;;;1;180,00;0,00;25264,80;0,00;25264,80;1;0;1;1
9;;9;111;EPSON L8160 MF SISTEMA CONTINUO;;0,0000;21;81200,00;50,00;147378,00;40,00;137552,80;30,00;127727,60;20,00;117902,40;IMPRESORA TINTA;;;;1;700,00;0,00;98252,00;0,00;98252,00;1;0;1;1
10;;10;112;EPSON L3210 MF SISTEMA CONTINUO;;0,0000;21;26680,00;50,00;48424,20;40,00;45195,92;30,00;41967,64;20,00;38739,36;IMPRESORA TINTA;;;;1;230,00;0,00;32282,80;0,00;32282,80;1;0;1;1
11;;11;113;HP LASERJET M107W LJ 21PPM WIFI 4ZB78A;;0,0000;21;14732,00;50,00;26738,58;30,00;23173,44;20,00;21390,86;100,00;35651,44;IMPRESORA TINTA;;;;1;127,00;0,00;17825,72;0,00;17825,72;1;0;1;1
12;;12;114;RW-DVD ASUS EXTERNA SLIM USB 24X BLANCA;;0,0000;10,5;2436,00;50,00;4037,67;30,00;3499,31;20,00;3230,14;100,00;5383,56;RW- DVD SATA Y USB;;;;1;21,00;0,00;2691,78;0,00;2691,78;1;0;1;1
13;;13;115;CARTUCHO HP 21 NEGRO;;0,0000;10,5;2436,00;70,00;4576,03;60,00;4306,85;30,00;3499,31;100,00;5383,56;CARTUCHO TINTA;;;;1;21,00;0,00;2691,78;0,00;2691,78;1;0;1;0
14;;14;116;CARTUCHO HP 22 COLOR;;0,0000;10,5;3364,00;70,00;6319,27;60,00;5947,55;50,00;5575,83;30,00;4832,39;CARTUCHO TINTA;;;;1;29,00;0,00;3717,22;0,00;3717,22;1;1;1;0
16;;16;118;CARTUCHO HP 60 NEGRO;;0,0000;10,5;726,20;65,00;1324,03;50,00;1203,66;30,00;1043,16;100,00;1604,90;CARTUCHO TINTA;;;;0;0,00;0,00;0,00;0,00;0,00;1;1;1;0
17;;17;119;CARTUCHO HP 60 COLOR;;0,0000;10,5;689,70;65,00;1257,50;50,00;1143,19;30,00;990,76;100,00;1524,24;CARTUCHO TINTA;;;;0;0,00;0,00;0,00;0,00;0,00;1;1;1;0
18;;18;120;CARTUCHO HP 667 NEGRO;;0,0000;10,5;1392,00;70,00;2614,87;60,00;2461,06;30,00;1999,61;100,00;3076,32;CARTUCHO TINTA;;;;1;12,00;0,00;1538,16;0,00;1538,16;1;0;1;0
19;;19;121;CARTUCHO HP 75 COLOR;;10,000;10,5;732,05;65,00;1294,26;50,00;1213,37;30,00;1051,60;30,00;1051,60;CARTUCHO TINTA;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
20;;20;122;CARTUCHO HP 95 COLOR;;0,0000;10,5;732,05;65,00;1334,72;50,00;1213,37;30,00;1051,60;30,00;1051,60;CARTUCHO TINTA;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
21;;21;123;CARTUCHO HP 122 NEGRO;;10,000;10,5;1740,00;70,00;3268,59;60,00;3076,32;30,00;2499,51;100,00;3845,40;CARTUCHO TINTA;;;;1;15,00;0,00;1922,70;0,00;1922,70;1;1;1;0
22;;22;124;CARTUCHO HP 122 COLOR;;60,000;10,5;2204,00;70,00;4140,21;60,00;3896,67;30,00;3166,05;100,00;4870,84;CARTUCHO TINTA;;;;1;19,00;0,00;2435,42;0,00;2435,42;1;1;1;0
23;;23;125;CARTUCHO HP 122 XL NEGRO;;0,0000;10,5;4234,00;70,00;7953,57;50,00;7017,86;30,00;6082,14;100,00;9357,14;CARTUCHO TINTA;;;;1;36,50;0,00;4678,57;0,00;4678,57;1;1;1;0
24;;24;126;CARTUCHO HP 122 XL COLOR;;0,0000;10,5;4234,00;70,00;7953,57;50,00;7017,86;30,00;6082,14;100,00;9357,14;CARTUCHO TINTA;;;;1;36,50;0,00;4678,57;0,00;4678,57;1;1;1;0
25;;25;127;CARTUCHO HP 940 NEGRO;;10,000;10,5;1077,58;65,00;1964,69;50,00;1786,08;30,00;1547,94;30,00;1547,94;CARTUCHO TINTA;;;;0;0,00;0,00;0,00;0,00;0,00;1;1;1;0
26;;26;128;CARTUCHO HP 901 COLOR;;0,0000;10,5;1134,67;65,00;2068,79;50,00;1880,72;30,00;1629,97;30,00;1629,97;CARTUCHO TINTA;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
27;;27;129;CARTUCHO HP 564 NEGRO;;10,000;10,5;571,00;65,00;1041,08;50,00;946,44;30,00;820,25;30,00;820,25;CARTUCHO TINTA;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
28;;28;130;CARTUCHO HP 564 COLOR;;10,000;10,5;527,08;65,00;960,99;50,00;873,63;30,00;757,14;30,00;757,14;CARTUCHO TINTA;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
29;;29;131;CARTUCHO HP 662 NEGRO;;80,000;10,5;1392,00;70,00;2614,87;60,00;2461,06;50,00;2307,24;30,00;1999,61;CARTUCHO TINTA;;;;1;12,00;0,00;1538,16;0,00;1538,16;1;1;1;0
30;;30;132;CARTUCHO HP 662 COLOR;;70,000;10,5;1392,00;70,00;2614,87;60,00;2461,06;50,00;2307,24;30,00;1999,61;CARTUCHO TINTA;;;;1;12,00;0,00;1538,16;0,00;1538,16;1;1;1;0
31;;31;133;CARTUCHO HP 662 XL COLOR;;30,000;10,5;1740,00;70,00;3268,59;50,00;2884,05;30,00;2499,51;100,00;3845,40;CARTUCHO TINTA;;;;1;15,00;0,00;1922,70;0,00;1922,70;1;1;1;0
32;;32;134;CARTUCHO HP 664 NEGRO;;0,0000;10,5;1392,00;70,00;2614,87;60,00;2461,06;50,00;2307,24;30,00;1999,61;CARTUCHO TINTA;;;;1;12,00;0,00;1538,16;0,00;1538,16;1;1;1;0
33;;33;135;CARTUCHO HP 664 COLOR;;10,000;10,5;1392,00;70,00;2614,87;60,00;2461,06;30,00;1999,61;100,00;3076,32;CARTUCHO TINTA;;;;1;12,00;0,00;1538,16;0,00;1538,16;1;1;1;0
34;;34;136;CARTUCHO HP 664 XL NEGRO;;0,0000;10,5;937,02;65,00;1708,43;50,00;1553,12;30,00;1346,04;30,00;1346,04;CARTUCHO TINTA;;;;0;0,00;0,00;0,00;0,00;0,00;1;1;1;0
35;;35;137;CARTUCHO HP 664 XL COLOR;;10,000;10,5;2320,00;70,00;4358,12;50,00;3845,40;30,00;3332,68;100,00;5127,20;CARTUCHO TINTA;;;;1;20,00;0,00;2563,60;0,00;2563,60;1;1;1;0
36;;36;138;CARTUCHO HP 670 NEGRO;;20,000;10,5;1392,00;70,00;2614,87;60,00;2461,06;30,00;1999,61;100,00;3076,32;CARTUCHO TINTA;;;;1;12,00;0,00;1538,16;0,00;1538,16;1;0;1;0
37;;37;139;CARTUCHO HP 670 COLOR;;20,000;10,5;1392,00;70,00;2614,87;60,00;2461,06;30,00;1999,61;100,00;3076,32;CARTUCHO TINTA;;;;1;12,00;0,00;1538,16;0,00;1538,16;1;0;1;0
38;;38;140;CARTUCHO HP 933 XL ;;0,0000;10,5;2180,80;70,00;4096,63;50,00;3614,68;30,00;3132,72;100,00;4819,57;CARTUCHO TINTA;;;;1;18,80;0,00;2409,78;0,00;2409,78;1;0;1;0
40;;40;142;CARTUCHO HP 932 XL;;0,0000;10,5;4129,60;70,00;7757,45;50,00;6844,81;30,00;5932,17;100,00;9126,42;CARTUCHO TINTA;;;;1;35,60;0,00;4563,21;0,00;4563,21;1;0;1;0
41;;41;143;CARTUCHO ALTER. HP 670XL NEGRO;;50,000;10,5;348,00;70,00;653,72;60,00;615,26;30,00;499,90;100,00;769,08;CARTUCHO TINTA;;;;1;3,00;0,00;384,54;0,00;384,54;1;0;1;0
42;;42;144;CARTUCHO ALTER. HP 670XL CIAN;;50,000;10,5;348,00;70,00;653,72;60,00;615,26;30,00;499,90;100,00;769,08;CARTUCHO TINTA;;;;1;3,00;0,00;384,54;0,00;384,54;1;0;1;0
